Episode,Score,Average_Score,Actor_Loss,Critic_Loss
0,-21.0,-21.00,N/A,N/A
1,-21.0,-21.00,-0.2175447940826416,0.8375204801559448
2,-21.0,-21.00,-0.23243775963783264,0.8817945718765259
3,-20.0,-20.75,-0.04081441089510918,0.8254806995391846
4,-21.0,-20.80,0.11283356696367264,1.0145496129989624
5,-20.0,-20.67,0.1978486329317093,0.8721144199371338
6,-19.0,-20.43,0.2230606973171234,0.9946510791778564
7,-21.0,-20.50,0.021458126604557037,0.9894388318061829
8,-19.0,-20.33,0.034342315047979355,0.938398540019989
9,-20.0,-20.30,0.2208162248134613,1.0065542459487915
10,-20.0,-20.27,-0.17124764621257782,0.9844757914543152
11,-20.0,-20.25,0.4192045331001282,0.940391480922699
12,-20.0,-20.23,-0.0335640013217926,0.9089370369911194
